pair,from,to,chang,time
OCEANUSDT,0.2243,0.2219,-1.069995541685249,08-01-2023 23:12:29
GALAUSDT,0.03837,0.03797,-1.0424811050299831,08-01-2023 23:12:29
LDOUSDT,1.925,1.97,2.337662337662334,08-01-2023 23:12:50
OCEANUSDT,0.222,0.2245,1.126126126126127,08-01-2023 23:13:02
GALAUSDT,0.03812,0.03855,1.128016789087093,08-01-2023 23:13:13
LDOUSDT,1.95,1.928,-1.128205128205129,08-01-2023 23:13:23
LDOUSDT,1.961,1.989,1.4278429372769008,08-01-2023 23:13:54
GALAUSDT,0.03872,0.03827,-1.1621900826446256,08-01-2023 23:14:15
LDOUSDT,1.969,1.939,-1.5236160487557149,08-01-2023 23:15:07
GALAUSDT,0.03779,0.03654,-3.3077533739084264,08-01-2023 23:15:18
GALAUSDT,0.03654,0.03556,-2.6819923371647554,08-01-2023 23:15:28
LDOUSDT,1.944,1.915,-1.4917695473250985,08-01-2023 23:15:28
OCEANUSDT,0.2216,0.2188,-1.2635379061371828,08-01-2023 23:15:38
LDOUSDT,1.915,1.892,-1.2010443864229832,08-01-2023 23:15:38
GALAUSDT,0.0362,0.03664,1.2154696132596572,08-01-2023 23:16:02
GALAUSDT,0.03664,0.03623,-1.1189956331877746,08-01-2023 23:16:13
LDOUSDT,1.895,1.918,1.2137203166226864,08-01-2023 23:16:13
FISUSDT,0.4045,0.409,1.112484548825698,08-01-2023 23:17:25
GALAUSDT,0.03663,0.0372,1.55610155610154,08-01-2023 23:17:36
HIGHUSDT,0.896,0.905,1.0044642857142867,08-01-2023 23:17:46
GALAUSDT,0.03702,0.0363,-1.9448946515397043,08-01-2023 23:18:08
LDOUSDT,1.947,1.967,1.0272213662044178,08-01-2023 23:18:19
CHESSUSDT,0.183,0.181,-1.092896174863389,08-01-2023 23:21:29
CHESSUSDT,0.181,0.183,1.1049723756906087,08-01-2023 23:21:39
FISUSDT,0.4056,0.4007,-1.2080867850098658,08-01-2023 23:23:36
AIONUSDT,0.02939,0.02973,1.156856073494386,08-01-2023 23:23:57
MCUSDT,0.267,0.27,1.1235955056179785,08-01-2023 23:23:57
LDOUSDT,1.995,1.973,-1.1027568922305773,08-01-2023 23:27:36
GALAUSDT,0.03634,0.03596,-1.0456796917996656,08-01-2023 23:28:09
LDOUSDT,1.962,1.942,-1.0193679918450569,08-01-2023 23:30:06
GALAUSDT,0.03536,0.03468,-1.9230769230769231,08-01-2023 23:30:39
FISUSDT,0.397,0.4026,1.4105793450881596,08-01-2023 23:33:17
MANAUSDT,0.3829,0.3877,1.2535910159310448,08-01-2023 23:35:54
MANAUSDT,0.3906,0.3853,-1.3568868407578154,08-01-2023 23:36:36
PYRUSDT,3.22,3.29,2.1739130434782554,08-01-2023 23:36:36
GALAUSDT,0.03481,0.03524,1.2352772191898875,08-01-2023 23:39:43
WNXMUSDT,8.3,8.39,1.0843373493975885,08-01-2023 23:41:20
OPUSDT,1.199,1.232,2.752293577981644,08-01-2023 23:42:16
GALAUSDT,0.03498,0.03538,1.1435105774728547,08-01-2023 23:42:58
BNBUPUSDT,33.19,33.69,1.5064778547755349,08-01-2023 23:44:11
ANKRUSDT,0.01842,0.01866,1.3029315960912087,08-01-2023 23:48:59
LEVERUSDT,0.001755,0.001787,1.823361823361818,08-01-2023 23:57:22
LEVERUSDT,0.001773,0.001808,1.9740552735476522,08-01-2023 23:57:44
LEVERUSDT,0.001811,0.001843,1.7669795692987371,08-01-2023 23:58:25
LEVERUSDT,0.001882,0.001853,-1.540913921360252,09-01-2023 00:00:01
GALAUSDT,0.03514,0.03473,-1.1667615253272643,09-01-2023 00:00:11
LEVERUSDT,0.001853,0.001821,-1.7269293038316313,09-01-2023 00:00:11
PLAUSDT,0.151,0.153,1.3245033112582794,09-01-2023 00:00:44
PLAUSDT,0.153,0.156,1.960784313725492,09-01-2023 00:00:55
PLAUSDT,0.156,0.153,-1.923076923076925,09-01-2023 00:01:06
LEVERUSDT,0.001828,0.001808,-1.0940919037199155,09-01-2023 00:01:58
LDOUSDT,1.943,1.971,1.44107050952136,09-01-2023 00:02:09
LDOUSDT,1.982,1.957,-1.261352169525727,09-01-2023 00:03:37
PLAUSDT,0.152,0.15,-1.3157894736842117,09-01-2023 00:04:51
PLAUSDT,0.15,0.152,1.3333333333333346,09-01-2023 00:05:04
PHBUSDT,0.5851,0.5762,-1.5211075029909262,09-01-2023 00:05:04
PLAUSDT,0.152,0.15,-1.3157894736842117,09-01-2023 00:05:38
ZILUSDT,0.02034,0.01985,-2.409046214355953,09-01-2023 00:08:01
LDOUSDT,1.936,1.958,1.1363636363636374,09-01-2023 00:08:01
MINAUSDT,0.457,0.465,1.7505470459518613,09-01-2023 00:08:59
GRTUSDT,0.0701,0.0693,-1.1412268188302357,09-01-2023 00:11:28
GALAUSDT,0.03381,0.03336,-1.3309671694764833,09-01-2023 00:11:28
LDOUSDT,2.006,2.041,1.7447657028913333,09-01-2023 00:13:19
PHBUSDT,0.5753,0.5628,-2.1727794194333505,09-01-2023 00:14:13
LDOUSDT,2.012,2.033,1.0437375745526793,09-01-2023 00:14:24
LDOUSDT,2.035,2.014,-1.0319410319410491,09-01-2023 00:15:34
LDOUSDT,2.012,2.033,1.0437375745526793,09-01-2023 00:18:55
LDOUSDT,2.033,2.06,1.3280865715691164,09-01-2023 00:19:06
LDOUSDT,2.069,2.045,-1.1599806669888846,09-01-2023 00:19:27
VIDTUSDT,0.0292,0.02879,-1.4041095890410982,09-01-2023 00:23:18
RIFUSDT,0.0457,0.0452,-1.0940919037199135,09-01-2023 00:24:02
CVXUSDT,3.201,3.24,1.2183692596063775,09-01-2023 00:27:44
VIDTUSDT,0.02882,0.02844,-1.3185287994448245,09-01-2023 00:28:26
LDOUSDT,2.042,2.013,-1.4201762977473025,09-01-2023 00:30:50
LDOUSDT,2.013,1.988,-1.2419274714356638,09-01-2023 00:31:11
VIDTUSDT,0.02897,0.02854,-1.4842940973420775,09-01-2023 00:31:42
FISUSDT,0.4076,0.4033,-1.0549558390579064,09-01-2023 00:33:06
FISUSDT,0.3998,0.4041,1.0755377688844487,09-01-2023 00:35:34
LDOUSDT,2.09,2.113,1.100478468899528,09-01-2023 00:41:43
OOKIUSDT,0.00313,0.00317,1.2779552715654987,09-01-2023 00:44:42
GALUSDT,1.263,1.283,1.5835312747426777,09-01-2023 00:47:21
FETUSDT,0.1433,0.1415,-1.2561060711793606,09-01-2023 00:48:05
GALUSDT,1.234,1.221,-1.053484602917334,09-01-2023 00:51:28
ZILUSDT,0.0201,0.02034,1.1940298507462719,09-01-2023 00:57:55
GALAUSDT,0.03506,0.03422,-2.39589275527667,09-01-2023 01:00:24
GALAUSDT,0.03438,0.03393,-1.3089005235602065,09-01-2023 01:00:46
GALAUSDT,0.03422,0.03383,-1.1396843950905946,09-01-2023 01:01:18
PHBUSDT,0.5776,0.5863,1.5062326869806166,09-01-2023 01:04:41
NEBLUSDT,1.315,1.33,1.1406844106463974,09-01-2023 01:06:36
FXSUSDT,5.799,5.713,-1.4830143128125588,09-01-2023 01:13:38
FXSUSDT,5.71,5.817,1.8739054290718076,09-01-2023 01:14:21
PHBUSDT,0.5792,0.5705,-1.5020718232044268,09-01-2023 01:15:05
LDOUSDT,2.005,1.963,-2.094763092269318,09-01-2023 01:26:08
GALAUSDT,0.03457,0.03421,-1.041365345675439,09-01-2023 01:30:31
ZILUSDT,0.02159,0.02205,2.1306160259379276,09-01-2023 01:34:24
ANKRUSDT,0.01936,0.01956,1.033057851239681,09-01-2023 01:42:54
MCUSDT,0.27,0.273,1.111111111111112,09-01-2023 01:42:54
LEVERUSDT,0.001906,0.001876,-1.5739769150052394,09-01-2023 01:46:56
ANKRUSDT,0.01996,0.02016,1.0020040080160435,09-01-2023 01:48:08
ANKRUSDT,0.02006,0.01983,-1.1465603190428764,09-01-2023 01:48:50
